filename, function, length
src/game/model.c, sub_GAME_7F06DEC0, 480
src/game/matrixmath.c, matrix_4x4_f32_to_s32, 476
src/game/textrelated.c, textMeasure, 472
src/game/stan.c, sub_GAME_7F0AF038, 468
src/game/chrobjhandler.c, sub_GAME_7F0419E4, 468
src/game/bg.c, sub_GAME_7F0B4884, 460
src/game/matrixmath.c, sub_GAME_7F058E78, 460
src/game/gun.c, sub_GAME_7F068EC4, 456
src/game/objecthandler_2.c, sub_GAME_7F0762E0, 452
src/game/gun.c, sub_GAME_7F05C6FC, 440
src/game/chrprop.c, sub_GAME_7F03F598, 432
src/game/chrlv.c, sub_GAME_7F02BFE4, 428
src/game/spectrum.c, sub_GAME_7F0D28E0, 420
src/game/stan.c, sub_GAME_7F0AFB78, 420
src/game/model.c, get_obj_instance_controller_for_header, 416
src/game/model.c, sub_GAME_7F0752FC, 416
src/game/chrlv.c, set_actor_on_path, 416
src/game/stan.c, sub_GAME_7F0B2718, 408
src/game/watch.c, sub_GAME_7F0A8FEC, 404
src/game/watch.c, sub_GAME_7F0A8D40, 400
src/game/watch.c, sub_GAME_7F0A91C8, 400
src/game/chrprop.c, sub_GAME_7F03E27C, 384
src/game/chrobjhandler.c, create_new_item_instance_of_model, 380
src/game/model.c, get_aircraft_obj_instance_controller, 376
src/game/unk_0BC530.c, sub_GAME_7F0BC85C, 360
src/game/chrprop.c, sub_GAME_7F03ADF4, 360
src/game/chr.c, sub_GAME_7F022078, 356
src/game/model.c, process_03_unknown, 348
src/game/stan.c, getShortest2dDispToInfTripleEdge, 348
src/game/indy_commands.c, indycmdRecieveCommand, 348
src/game/chrobjhandler.c, sub_GAME_7F0523F8, 348
src/game/chrprop.c, determing_type_of_object_and_detection, 348
src/game/stan.c, sub_GAME_7F0B07BC, 344
src/game/gun.c, sub_GAME_7F05F928, 340
src/game/watch.c, sub_GAME_7F0A9684, 332
src/game/bg.c, sub_GAME_7F0B39BC, 328
src/game/bg.c, sub_GAME_7F0B609C, 320
src/game/stan.c, sub_GAME_7F0B0198, 320
src/game/initactorpropstuff.c, sub_GAME_7F00032C, 320
src/game/unk_0A1DA0.c, sub_GAME_7F0A3978, 320
src/game/bg.c, sub_GAME_7F0B61DC, 312
src/game/indy_commands.c, indycmdSendCommand, 312
src/game/bg.c, sub_GAME_7F0B9B94, 308
src/game/mp_music.c, reset_all_music_slots, 308
src/game/chrobjhandler.c, sub_GAME_7F049B58, 308
src/game/ob.c, fileGetIndex, 304
src/game/matrixmath_misc.c, sub_GAME_7F05B024, 304
src/game/chr.c, disable_sounds_attached_to_player_then_something, 300
src/game/stan.c, sub_GAME_7F0AF638, 296
src/game/objecthandler.c, sub_GAME_7F06B120, 296
src/game/music_0D2720.c, getmusictrack_or_randomtrack, 296
src/game/chrprop.c, sub_GAME_7F03DA50, 288
src/game/stan.c, sub_GAME_7F0AF808, 284
src/game/model.c, sub_GAME_7F06D1CC, 280
src/game/stan.c, sub_GAME_7F0B0400, 280
src/game/stan.c, sub_GAME_7F0B0D0C, 280
src/game/model.c, modelConstrainOrWrapAnimFrame, 276
src/game/chrprop.c, sub_GAME_7F03AA44, 276
src/game/model.c, sub_GAME_7F06D2E4, 272
src/game/model.c, sub_GAME_7F06E540, 268
src/game/model.c, subdraw, 268
src/game/bg.c, sub_GAME_7F0B38B4, 264
src/game/stan.c, stanConvertNameStringToS32, 264
src/game/chrobjhandler.c, posIsInFrontOfDoor, 264
src/game/bg.c, sub_GAME_7F0B7DE4, 256
src/game/stan.c, getPointJustInsideOfTileTriple, 256
src/game/unk_0CC4C0.c, sub_GAME_7F0CDEA8, 256
src/game/spectrum.c, spectrum_input_handling, 252
src/game/bondview.c, sub_GAME_7F07B1A4, 252
src/game/model.c, modelCopyAnimForMerge, 248
src/game/unk_09B7A0.c, sub_GAME_7F09BAC4, 248
src/game/stan.c, getTileMidPoint, 248
src/game/chrprop.c, chrpropRegisterRoom, 248
src/game/bg.c, sub_GAME_7F0B95D8, 244
src/game/bg.c, sub_GAME_7F0B9CC8, 244
src/game/bg.c, sub_GAME_7F0B5FAC, 240
src/game/blood_decrypt.c, sub_GAME_7F01D1C0, 240
src/game/matrixmath.c, sub_GAME_7F059244, 240
src/game/matrixmath.c, sub_GAME_7F059334, 240
src/memp.c, mempAddEntryOfSizeToBank, 236
src/game/chrobjhandler.c, sub_GAME_7F056690, 236
src/game/chrprop.c, sub_GAME_7F03DBCC, 236
src/libultrare/audio/env.s, _frexpf, 236
src/memp.c, mempAllocBytesInBank, 228
src/game/bondview.c, sub_GAME_7F07E7CC, 228
src/game/textrelated.c, microcode_constructor_related_to_menus, 228
src/game/stan.c, getTileEdgePoints, 228
src/game/objecthandler.c, sub_GAME_7F06BB28, 228
src/game/chrobjhandler.c, sub_GAME_7F04DE18, 228
src/game/chrprop.c, sub_GAME_7F03DCB8, 228
src/libultrare/audio/env.s, alEnvmixerParam, 224
src/game/unk_01BAE0.c, sub_GAME_7F01BFF8, 216
src/game/bg.c, sub_GAME_7F0B8EFC, 212
src/game/model.c, sub_GAME_7F06FCFC, 208
src/game/watch.c, sub_GAME_7F0A68D8, 208
src/game/initunk_005450.c, sub_GAME_7F005450, 208
src/game/bg.c, sub_GAME_7F0B37EC, 200
src/game/textrelated.c, draw_blackbox_to_screen, 200
src/game/unk_0A1DA0.c, sub_GAME_7F0A3330, 200
src/game/unk_0A1DA0.c, sub_GAME_7F0A46A0, 200
src/game/chrprop.c, sub_GAME_7F03A97C, 200
src/libultrare/audio/env.s, ultra_7001AAF4, 192
src/game/model.c, sub_GAME_7F06DE04, 188
src/game/unk_0CC4C0.c, sub_GAME_7F0CDFA8, 188
src/game/bg.c, delete_room_data, 184
src/game/bg.c, roomsHandleStateDebugging, 180
src/game/initanitable.c, alloc_load_expand_ani_table, 180
src/game/chrobjhandler.c, sub_GAME_7F04DD68, 176
src/game/stan.c, sub_GAME_7F0B260C, 172
src/game/stan.c, stanDetermineEOF, 172
src/game/initanitable.c, expand_ani_table_entries, 172
src/game/stan.c, sub_GAME_7F0AF760, 168
src/game/stan.c, stanMatchTileName, 168
src/game/chr.c, sub_GAME_7F020794, 168
src/game/objecthandler_2.c, load_object_fill_header, 168
src/game/bg.c, sub_GAME_7F0B8DF4, 164
src/game/stan.c, sub_GAME_7F0AEF3C, 164
src/game/decompress.c, decompressdata, 164
src/game/bg.c, sub_GAME_7F0B7EE4, 160
src/game/stan.c, sub_GAME_7F0B2274, 160
src/game/stan.c, sub_GAME_7F0B2C74, 160
src/game/watch.c, set_page_rectangle_colors, 160
src/game/unk_0A1DA0.c, sub_GAME_7F0A4600, 160
src/game/initimages.c, image_entries_load, 160
src/game/model.c, sub_GAME_7F06D3F4, 156
src/game/title.c, sub_GAME_7F008DE4, 156
src/game/initactorpropstuff.c, sub_GAME_7F000290, 156
src/game/ob.c, obInit, 148
src/game/unk_01B0E0.c, sub_GAME_7F01B134, 148
src/game/unk_0CC4C0.c, sub_GAME_7F0CDE18, 144
src/game/cleanup_objects.c, cleanupObjects, 144
src/game/unk_0BC530.c, sub_GAME_7F0BC7D4, 136
src/game/unk_0A1DA0.c, setup_watch_rectangles, 136
src/game/bg.c, sub_GAME_7F0B92B4, 132
src/game/bg.c, sub_GAME_7F0B9990, 132
src/game/stan.c, sub_GAME_7F0B2110, 132
src/game/unk_0A1DA0.c, sub_GAME_7F0A3E1C, 132
src/game/bg2.c, sub_GAME_7F0BA5C0, 128
src/game/stan.c, sub_GAME_7F0B00C4, 124
src/mema.c, memaGrow, 120
src/game/stan.c, stanLoadFile, 120
src/game/unk_01B0E0.c, sub_GAME_7F01B1C8, 120
src/game/chrlv.c, chrlvGetPatrolStepPad, 120
src/game/stan.c, sub_GAME_7F0B23AC, 116
src/game/bg.c, sub_GAME_7F0B8FD0, 112
src/boot.c, boot, 108
src/game/stan.c, sub_GAME_7F0B3138, 108
src/game/chrlv.c, get_ptrpreset_in_table_matching_tile, 108
src/game/gun.c, set_rgba_redirect_generate_microcode, 108
src/game/unk_0A1DA0.c, sub_GAME_7F0A4768, 108
src/game/chrprop.c, scan_position_data_table_for_normal_object_at_preset, 108
src/game/bg.c, sub_GAME_7F0B9A7C, 104
src/game/bg.c, bgDebPrintPORTALID, 100
src/game/bg.c, bgDebPrintROOMID, 100
src/game/bg.c, sub_GAME_7F0B8E98, 100
src/game/stan.c, sub_GAME_7F0AFB1C, 92
src/game/stan.c, sub_GAME_7F0B31A4, 92
src/game/stan.c, sub_GAME_7F0B0140, 88
src/game/unk_01B0E0.c, sub_GAME_7F01B0E0, 84
src/game/objecthandler.c, sub_GAME_7F06B248, 84
src/tlb_random.c, tlbRandomGetNext, 80
src/game/bg.c, sub_GAME_7F0B9A2C, 80
src/game/ob.c, sub_GAME_7F0BD410, 80
src/game/objecthandler.c, sub_GAME_7F06C010, 80
src/random.c, randomGetNext, 72
src/game/model.c, sub_GAME_7F06C418, 72
src/game/bg.c, sub_GAME_7F0B3BC4, 72
src/game/chrObjRandom.c, chrObjRandomGetNext, 72
src/game/initactorpropstuff.c, sub_GAME_7F0004D0, 72
src/random.c, randomGetNextFrom, 68
src/game/model.c, sub_GAME_7F074C68, 68
src/game/unk_0A1DA0.c, sub_GAME_7F0A4594, 68
src/game/gun.c, sub_GAME_7F064364, 60
src/game/unk_0A1DA0.c, sub_GAME_7F0A45D8, 40
src/libultrare/audio/env.s, _ldexpf, 40
src/game/gun.c, sub_GAME_7F0634D8, 36
src/game/model.c, sub_GAME_7F07549C, 32
src/game/gun.c, sub_GAME_7F0634FC, 32
src/boot.c, jump_decompressfile, 24
src/game/chrObjRandom.c, chrObjRandomSetSeed, 24
src/random.c, randomSetSeed, 20
